# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.48e+01  2.40e+01    6.47e+00  6.47e+00    6.84e-01  6.56e-01    1.0e-03
    100    2.93e+01  2.91e+01    2.78e+00  2.78e+00    9.11e-01  9.06e-01    1.0e-03
    200    2.35e+01  2.88e+01    7.50e-01  7.44e-01    7.43e-01  9.09e-01    1.0e-03
    300    2.17e+01  2.21e+01    2.09e-01  2.04e-01    6.85e-01  6.98e-01    1.0e-03
    400    2.04e+01  2.36e+01    8.14e-02  8.32e-02    6.46e-01  7.46e-01    1.0e-03
    500    2.03e+01  2.05e+01    1.31e-01  1.32e-01    6.43e-01  6.49e-01    1.0e-03
    600    2.11e+01  2.18e+01    1.00e-01  1.15e-01    6.67e-01  6.88e-01    1.0e-03
    700    2.11e+01  2.01e+01    9.32e-02  1.07e-01    6.66e-01  6.37e-01    1.0e-03
    800    2.28e+01  2.45e+01    1.59e-02  1.66e-02    7.20e-01  7.75e-01    1.0e-03
    900    2.02e+01  1.88e+01    4.70e-02  4.91e-02    6.40e-01  5.95e-01    1.0e-03
   1000    1.86e+01  1.88e+01    2.34e-02  2.48e-02    5.87e-01  5.93e-01    1.0e-03
   1100    2.68e+01  2.67e+01    2.27e-01  2.02e-01    8.48e-01  8.45e-01    1.0e-03
   1200    2.07e+01  2.12e+01    1.66e-01  1.45e-01    6.55e-01  6.71e-01    1.0e-03
   1300    1.92e+01  1.83e+01    2.79e-01  2.74e-01    6.06e-01  5.80e-01    1.0e-03
   1400    1.75e+01  1.74e+01    1.35e-01  1.00e-01    5.53e-01  5.50e-01    1.0e-03
   1500    2.19e+01  2.60e+01    6.14e-01  6.17e-01    6.91e-01  8.21e-01    1.0e-03
   1600    1.58e+01  1.57e+01    7.49e-02  4.33e-02    5.01e-01  4.96e-01    1.0e-03
   1700    1.24e+01  1.73e+01    5.53e-02  2.17e-02    3.93e-01  5.48e-01    1.0e-03
   1800    9.46e+00  1.01e+01    2.91e-01  2.89e-01    2.99e-01  3.20e-01    1.0e-03
