# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   1900    1.39e+01  1.43e+01    1.94e-01  2.19e-01    4.40e-01  4.52e-01    1.0e-03
   2000    1.26e+01  1.23e+01    1.07e-01  1.17e-01    3.97e-01  3.89e-01    1.0e-03
   2100    1.48e+01  1.46e+01    1.38e-02  1.70e-02    4.67e-01  4.60e-01    1.0e-03
   2200    1.30e+01  1.30e+01    5.52e-02  1.58e-02    4.13e-01  4.10e-01    1.0e-03
   2300    1.23e+01  1.27e+01    7.00e-02  6.76e-02    3.88e-01  4.00e-01    1.0e-03
   2400    1.95e+01  1.87e+01    1.73e-01  1.73e-01    6.16e-01  5.92e-01    1.0e-03
   2500    1.28e+01  1.31e+01    8.69e-02  5.85e-02    4.04e-01  4.15e-01    1.0e-03
   2600    1.15e+01  1.14e+01    6.85e-02  6.33e-02    3.63e-01  3.61e-01    1.0e-03
   2700    7.97e+00  7.84e+00    1.78e-01  1.80e-01    2.52e-01  2.48e-01    1.0e-03
   2800    7.76e+00  7.67e+00    7.27e-02  3.12e-02    2.45e-01  2.42e-01    1.0e-03
   2900    1.34e+01  1.21e+01    1.16e-01  1.21e-01    4.25e-01  3.82e-01    1.0e-03
   3000    7.83e+00  7.90e+00    3.73e-02  5.72e-02    2.47e-01  2.50e-01    1.0e-03
   3100    1.46e+01  1.61e+01    7.41e-02  8.21e-02    4.61e-01  5.08e-01    1.0e-03
   3200    8.33e+00  8.21e+00    6.15e-02  6.07e-02    2.63e-01  2.60e-01    1.0e-03
   3300    1.08e+01  1.13e+01    1.29e-01  1.31e-01    3.41e-01  3.56e-01    1.0e-03
   3400    1.44e+01  1.54e+01    1.26e-01  1.53e-01    4.55e-01  4.87e-01    1.0e-03
   3500    6.82e+00  7.42e+00    3.61e-02  4.15e-02    2.16e-01  2.35e-01    1.0e-03
   3600    7.82e+00  8.54e+00    2.60e-01  2.65e-01    2.47e-01  2.70e-01    1.0e-03
   3700    1.15e+01  1.28e+01    4.94e-02  1.07e-02    3.64e-01  4.05e-01    1.0e-03
   3800    8.89e+00  8.84e+00    1.19e-01  1.18e-01    2.81e-01  2.79e-01    1.0e-03
   3900    1.13e+01  1.06e+01    8.29e-02  1.20e-01    3.58e-01  3.34e-01    1.0e-03
   4000    1.21e+01  1.20e+01    2.58e-02  2.96e-02    3.82e-01  3.80e-01    1.0e-03
   4100    1.31e+01  1.22e+01    1.73e-02  8.85e-03    4.16e-01  3.84e-01    1.0e-03
   4200    6.59e+00  6.30e+00    2.49e-01  2.46e-01    2.08e-01  1.99e-01    1.0e-03
   4300    1.34e+01  1.21e+01    1.33e-02  6.42e-03    4.23e-01  3.84e-01    1.0e-03
   4400    1.11e+01  1.15e+01    6.81e-02  8.13e-02    3.51e-01  3.63e-01    1.0e-03
   4500    6.65e+00  6.62e+00    1.14e-01  1.14e-01    2.10e-01  2.09e-01    1.0e-03
   4600    1.10e+01  1.10e+01    3.25e-02  5.63e-03    3.49e-01  3.47e-01    1.0e-03
   4700    6.04e+00  5.89e+00    4.23e-02  6.69e-03    1.91e-01  1.86e-01    1.0e-03
   4800    1.31e+01  1.35e+01    5.83e-02  5.92e-02    4.13e-01  4.28e-01    1.0e-03
   4900    1.19e+01  1.28e+01    1.10e-01  9.13e-02    3.75e-01  4.06e-01    1.0e-03
   5000    2.44e+01  2.46e+01    6.68e-02  6.31e-02    7.70e-01  7.78e-01    1.0e-03
   5100    1.02e+01  1.23e+01    4.91e-02  1.70e-02    3.24e-01  3.89e-01    1.0e-03
   5200    1.19e+01  1.08e+01    4.48e-02  4.20e-02    3.75e-01  3.42e-01    1.0e-03
   5300    1.26e+01  1.26e+01    7.55e-02  6.41e-02    3.97e-01  3.98e-01    1.0e-03
   5400    1.40e+01  1.49e+01    1.16e-01  1.33e-01    4.42e-01  4.72e-01    1.0e-03
   5500    1.45e+01  1.39e+01    6.81e-02  3.61e-02    4.58e-01  4.40e-01    1.0e-03
   5600    1.36e+01  1.33e+01    4.09e-01  3.94e-01    4.28e-01  4.20e-01    1.0e-03
   5700    1.14e+01  9.21e+00    1.03e-02  5.78e-03    3.61e-01  2.91e-01    1.0e-03
   5800    9.62e+00  9.96e+00    2.47e-02  1.90e-02    3.04e-01  3.15e-01    1.0e-03
   5900    5.64e+00  5.42e+00    8.61e-02  6.14e-02    1.78e-01  1.71e-01    1.0e-03
   6000    1.03e+01  1.14e+01    1.90e-02  3.80e-02    3.27e-01  3.60e-01    1.0e-03
   6100    1.46e+01  1.42e+01    1.83e-01  1.73e-01    4.62e-01  4.50e-01    1.0e-03
   6200    9.69e+00  9.46e+00    9.61e-02  1.01e-01    3.07e-01  2.99e-01    1.0e-03
   6300    8.68e+00  8.45e+00    5.00e-02  5.50e-02    2.74e-01  2.67e-01    1.0e-03
   6400    1.17e+01  1.38e+01    1.33e-01  1.72e-01    3.71e-01  4.36e-01    1.0e-03
   6500    6.51e+00  5.99e+00    9.79e-02  5.64e-02    2.06e-01  1.89e-01    1.0e-03
   6600    9.26e+00  9.55e+00    3.08e-02  3.98e-02    2.93e-01  3.02e-01    1.0e-03
   6700    9.01e+00  9.72e+00    4.03e-02  2.70e-02    2.85e-01  3.07e-01    1.0e-03
   6800    9.99e+00  9.43e+00    6.07e-03  4.95e-03    3.16e-01  2.98e-01    1.0e-03
   6900    9.49e+00  8.47e+00    1.05e-01  1.07e-01    3.00e-01  2.68e-01    1.0e-03
   7000    9.75e+00  9.54e+00    2.25e-02  1.38e-02    3.08e-01  3.02e-01    1.0e-03
   7100    1.08e+01  1.11e+01    9.46e-03  5.10e-03    3.42e-01  3.52e-01    1.0e-03
   7200    1.02e+01  1.16e+01    1.26e-01  1.54e-01    3.21e-01  3.67e-01    1.0e-03
   7300    9.51e+00  9.40e+00    1.09e-01  1.44e-01    3.01e-01  2.97e-01    1.0e-03
   7400    1.03e+01  1.10e+01    8.29e-02  1.15e-01    3.24e-01  3.47e-01    1.0e-03
   7500    9.67e+00  1.09e+01    5.89e-02  8.66e-02    3.06e-01  3.46e-01    1.0e-03
   7600    1.03e+01  9.06e+00    3.33e-02  1.17e-02    3.27e-01  2.87e-01    1.0e-03
   7700    8.56e+00  8.43e+00    1.67e-02  1.11e-02    2.71e-01  2.67e-01    1.0e-03
   7800    9.43e+00  1.06e+01    2.21e-02  4.67e-02    2.98e-01  3.34e-01    1.0e-03
   7900    9.46e+00  1.03e+01    2.43e-02  4.81e-02    2.99e-01  3.26e-01    1.0e-03
   8000    9.18e+00  1.12e+01    8.05e-02  5.58e-02    2.90e-01  3.54e-01    1.0e-03
   8100    9.35e+00  9.88e+00    1.26e-01  1.24e-01    2.96e-01  3.12e-01    1.0e-03
   8200    8.40e+00  8.15e+00    1.14e-01  1.16e-01    2.66e-01  2.58e-01    1.0e-03
   8300    1.15e+01  1.07e+01    6.21e-03  3.44e-03    3.63e-01  3.39e-01    1.0e-03
   8400    1.11e+01  1.13e+01    2.14e-01  2.13e-01    3.51e-01  3.56e-01    1.0e-03
   8500    4.65e+00  4.37e+00    4.47e-02  1.33e-02    1.47e-01  1.38e-01    1.0e-03
   8600    1.03e+01  9.75e+00    6.09e-02  5.86e-02    3.25e-01  3.08e-01    1.0e-03
   8700    9.76e+00  9.54e+00    1.92e-02  1.65e-02    3.09e-01  3.02e-01    1.0e-03
   8800    9.50e+00  9.49e+00    5.97e-02  6.17e-02    3.00e-01  3.00e-01    1.0e-03
   8900    4.76e+00  4.69e+00    5.55e-02  8.12e-02    1.50e-01  1.48e-01    1.0e-03
   9000    9.24e+00  9.36e+00    2.91e-02  6.17e-03    2.92e-01  2.96e-01    1.0e-03
   9100    8.04e+00  8.11e+00    3.45e-02  3.24e-02    2.54e-01  2.56e-01    1.0e-03
   9200    1.04e+01  9.86e+00    2.81e-02  1.37e-02    3.27e-01  3.12e-01    1.0e-03
   9300    1.01e+01  1.00e+01    4.10e-02  2.96e-02    3.18e-01  3.17e-01    1.0e-03
   9400    8.21e+00  9.03e+00    3.56e-03  2.39e-03    2.60e-01  2.86e-01    1.0e-03
   9500    1.02e+01  9.39e+00    7.57e-02  9.21e-02    3.23e-01  2.97e-01    1.0e-03
   9600    9.84e+00  1.04e+01    8.65e-02  7.24e-02    3.11e-01  3.27e-01    1.0e-03
   9700    9.44e+00  9.10e+00    1.09e-01  1.12e-01    2.99e-01  2.88e-01    1.0e-03
   9800    7.75e+00  7.80e+00    5.03e-02  5.02e-02    2.45e-01  2.47e-01    1.0e-03
   9900    7.93e+00  7.84e+00    4.75e-02  4.92e-02    2.51e-01  2.48e-01    1.0e-03
  10000    9.26e+00  9.00e+00    5.70e-02  5.61e-02    2.93e-01  2.85e-01    1.0e-03
  10100    8.97e+00  8.63e+00    9.13e-02  1.20e-01    2.83e-01  2.73e-01    1.0e-03
  10200    9.48e+00  9.41e+00    1.89e-02  1.94e-02    3.00e-01  2.98e-01    1.0e-03
  10300    1.15e+01  8.56e+00    3.49e-02  3.82e-02    3.64e-01  2.71e-01    1.0e-03
  10400    8.46e+00  9.72e+00    1.53e-02  1.23e-02    2.68e-01  3.07e-01    1.0e-03
  10500    9.18e+00  9.29e+00    1.40e-02  3.05e-02    2.90e-01  2.94e-01    1.0e-03
  10600    1.16e+01  1.10e+01    1.13e+00  1.12e+00    3.61e-01  3.42e-01    1.0e-03
  10700    9.94e+00  9.56e+00    5.61e-01  5.79e-01    3.13e-01  3.00e-01    1.0e-03
  10800    9.58e+00  1.00e+01    2.81e-02  7.23e-03    3.03e-01  3.17e-01    1.0e-03
  10900    5.27e+00  6.34e+00    8.24e-01  8.28e-01    1.59e-01  1.94e-01    1.0e-03
  11000    1.17e+01  1.13e+01    4.24e-02  3.61e-02    3.69e-01  3.56e-01    1.0e-03
  11100    5.08e+00  8.12e+00    5.17e-01  5.47e-01    1.57e-01  2.55e-01    1.0e-03
  11200    9.97e+00  1.17e+01    1.50e-02  1.39e-02    3.15e-01  3.71e-01    1.0e-03
  11300    8.93e+00  1.02e+01    4.44e-02  4.01e-02    2.82e-01  3.22e-01    1.0e-03
  11400    1.16e+01  7.05e+00    7.55e-01  7.69e-01    3.65e-01  2.23e-01    1.0e-03
  11500    9.12e+00  8.63e+00    2.65e-02  1.60e-02    2.89e-01  2.73e-01    1.0e-03
  11600    9.19e+00  9.34e+00    2.03e-02  7.66e-03    2.91e-01  2.95e-01    1.0e-03
  11700    9.31e+00  9.93e+00    4.57e-02  2.47e-02    2.94e-01  3.14e-01    1.0e-03
  11800    7.07e+00  7.17e+00    3.46e-02  3.09e-02    2.23e-01  2.27e-01    1.0e-03
  11900    9.35e+00  8.81e+00    1.07e-02  1.54e-02    2.96e-01  2.79e-01    1.0e-03
  12000    4.56e+00  8.38e+00    1.18e-01  1.73e-01    1.44e-01  2.65e-01    1.0e-03
  12100    8.19e+00  7.83e+00    2.60e-02  3.23e-02    2.59e-01  2.48e-01    1.0e-03
  12200    8.74e+00  8.64e+00    1.04e-02  1.32e-02    2.77e-01  2.73e-01    1.0e-03
  12300    4.40e+00  4.92e+00    3.77e-02  1.72e-02    1.39e-01  1.55e-01    1.0e-03
  12400    8.69e+00  9.15e+00    5.33e-02  1.82e-02    2.75e-01  2.89e-01    1.0e-03
  12500    6.84e+00  6.48e+00    3.76e-02  3.67e-02    2.16e-01  2.05e-01    1.0e-03
  12600    4.27e+00  4.38e+00    2.26e-02  1.94e-02    1.35e-01  1.38e-01    1.0e-03
  12700    4.90e+00  5.01e+00    2.43e-01  2.67e-01    1.55e-01  1.58e-01    1.0e-03
  12800    8.65e+00  8.45e+00    1.48e-02  2.70e-02    2.74e-01  2.67e-01    1.0e-03
  12900    7.70e+00  7.30e+00    3.37e-02  3.38e-02    2.44e-01  2.31e-01    1.0e-03
  13000    8.45e+00  7.85e+00    6.99e-02  6.96e-02    2.67e-01  2.48e-01    1.0e-03
  13100    8.18e+00  8.56e+00    1.37e-02  2.04e-02    2.59e-01  2.71e-01    1.0e-03
  13200    5.00e+00  4.77e+00    1.21e-01  1.28e-01    1.58e-01  1.51e-01    1.0e-03
  13300    8.78e+00  7.90e+00    8.58e-03  1.15e-03    2.78e-01  2.50e-01    1.0e-03
  13400    1.10e+01  1.05e+01    4.26e-02  3.32e-02    3.49e-01  3.33e-01    1.0e-03
  13500    1.07e+01  1.23e+01    3.57e-02  3.24e-02    3.40e-01  3.88e-01    1.0e-03
  13600    9.36e+00  9.09e+00    2.11e-02  1.53e-02    2.96e-01  2.87e-01    1.0e-03
  13700    4.36e+00  4.35e+00    6.79e-02  6.94e-02    1.38e-01  1.38e-01    1.0e-03
  13800    7.17e+00  7.22e+00    4.26e-02  4.02e-02    2.27e-01  2.28e-01    1.0e-03
  13900    8.84e+00  8.73e+00    2.52e-02  3.42e-02    2.80e-01  2.76e-01    1.0e-03
  14000    7.66e+00  7.55e+00    2.09e-02  2.19e-02    2.42e-01  2.39e-01    1.0e-03
  14100    8.06e+00  7.80e+00    4.22e-03  2.94e-03    2.55e-01  2.47e-01    1.0e-03
  14200    1.18e+01  1.16e+01    1.77e-01  1.78e-01    3.72e-01  3.67e-01    1.0e-03
  14300    1.03e+01  1.25e+01    3.80e-02  3.58e-02    3.26e-01  3.95e-01    1.0e-03
  14400    1.10e+01  8.93e+00    7.24e-02  7.58e-02    3.49e-01  2.82e-01    1.0e-03
  14500    8.44e+00  8.82e+00    1.53e-02  2.50e-02    2.67e-01  2.79e-01    1.0e-03
  14600    8.32e+00  9.30e+00    2.14e-02  3.36e-02    2.63e-01  2.94e-01    1.0e-03
  14700    6.55e+00  6.52e+00    3.76e-02  3.32e-02    2.07e-01  2.06e-01    1.0e-03
  14800    6.45e+00  6.72e+00    2.79e-02  2.81e-02    2.04e-01  2.13e-01    1.0e-03
  14900    6.58e+00  7.14e+00    2.81e-02  2.21e-02    2.08e-01  2.26e-01    1.0e-03
  15000    8.10e+00  8.33e+00    8.92e-02  8.96e-02    2.56e-01  2.63e-01    1.0e-03
  15100    6.95e+00  6.82e+00    2.81e-02  2.99e-02    2.20e-01  2.16e-01    1.0e-03
  15200    9.03e+00  9.08e+00    3.68e-02  3.99e-03    2.86e-01  2.87e-01    1.0e-03
  15300    1.10e+01  1.18e+01    5.42e-02  4.30e-02    3.48e-01  3.72e-01    1.0e-03
  15400    7.75e+00  8.28e+00    2.61e-02  4.17e-02    2.45e-01  2.62e-01    1.0e-03
  15500    8.47e+00  8.21e+00    5.29e-02  5.12e-02    2.68e-01  2.60e-01    1.0e-03
  15600    4.83e+00  4.61e+00    1.22e-01  1.08e-01    1.53e-01  1.46e-01    1.0e-03
  15700    7.94e+00  7.33e+00    4.67e-02  5.48e-02    2.51e-01  2.32e-01    1.0e-03
  15800    8.69e+00  8.42e+00    1.64e-01  1.42e-01    2.75e-01  2.66e-01    1.0e-03
  15900    1.24e+01  1.19e+01    1.34e-02  7.31e-03    3.91e-01  3.78e-01    1.0e-03
  16000    1.08e+01  1.07e+01    8.32e-02  6.86e-02    3.40e-01  3.40e-01    1.0e-03
  16100    7.22e+00  7.96e+00    4.17e-02  3.15e-02    2.28e-01  2.52e-01    1.0e-03
  16200    8.86e+00  8.41e+00    7.89e-02  6.48e-02    2.80e-01  2.66e-01    1.0e-03
  16300    6.80e+00  6.33e+00    4.91e-03  4.18e-04    2.15e-01  2.00e-01    1.0e-03
  16400    8.06e+00  7.36e+00    2.61e-02  5.19e-03    2.55e-01  2.33e-01    1.0e-03
  16500    7.82e+00  8.16e+00    1.20e-02  9.29e-03    2.47e-01  2.58e-01    1.0e-03
  16600    6.61e+00  7.58e+00    5.30e-03  1.53e-03    2.09e-01  2.40e-01    1.0e-03
  16700    7.64e+00  8.22e+00    9.00e-03  6.34e-03    2.42e-01  2.60e-01    1.0e-03
  16800    4.00e+00  3.63e+00    4.26e-02  4.07e-04    1.26e-01  1.15e-01    1.0e-03
  16900    1.04e+01  1.09e+01    9.11e-02  8.42e-02    3.30e-01  3.44e-01    1.0e-03
  17000    3.81e+00  3.91e+00    3.02e-02  2.87e-02    1.20e-01  1.24e-01    1.0e-03
  17100    6.72e+00  7.30e+00    8.62e-03  7.93e-03    2.12e-01  2.31e-01    1.0e-03
  17200    8.37e+00  7.76e+00    2.12e-02  2.16e-02    2.65e-01  2.46e-01    1.0e-03
  17300    3.64e+00  3.36e+00    1.36e-02  1.19e-02    1.15e-01  1.06e-01    1.0e-03
  17400    1.06e+01  6.57e+00    5.45e-02  6.18e-02    3.35e-01  2.08e-01    1.0e-03
  17500    1.88e+01  1.74e+01    8.88e-02  9.72e-02    5.96e-01  5.49e-01    1.0e-03
  17600    4.60e+00  4.64e+00    4.17e-01  4.18e-01    1.43e-01  1.44e-01    1.0e-03
  17700    8.55e+00  8.52e+00    8.47e-02  1.08e-01    2.70e-01  2.70e-01    1.0e-03
  17800    1.04e+01  1.04e+01    7.57e-02  5.64e-02    3.28e-01  3.30e-01    1.0e-03
  17900    1.01e+01  1.03e+01    1.88e-02  1.84e-02    3.20e-01  3.25e-01    1.0e-03
  18000    7.63e+00  6.92e+00    5.96e-03  1.71e-03    2.41e-01  2.19e-01    1.0e-03
  18100    8.46e+00  7.53e+00    6.83e-02  9.49e-02    2.68e-01  2.38e-01    1.0e-03
  18200    7.40e+00  6.65e+00    3.14e-02  3.41e-02    2.34e-01  2.10e-01    1.0e-03
  18300    8.03e+00  8.34e+00    4.43e-02  5.22e-02    2.54e-01  2.64e-01    1.0e-03
  18400    8.04e+00  7.74e+00    2.80e-02  1.14e-03    2.54e-01  2.45e-01    1.0e-03
  18500    7.01e+00  7.29e+00    1.14e-02  1.51e-04    2.22e-01  2.31e-01    1.0e-03
  18600    8.13e+00  7.36e+00    1.67e-02  1.15e-02    2.57e-01  2.33e-01    1.0e-03
  18700    1.08e+01  9.65e+00    3.07e-01  2.86e-01    3.41e-01  3.05e-01    1.0e-03
  18800    7.98e+00  8.63e+00    1.60e-02  2.51e-02    2.52e-01  2.73e-01    1.0e-03
  18900    1.13e+01  1.09e+01    1.10e+00  1.09e+00    3.52e-01  3.39e-01    1.0e-03
  19000    7.57e+00  8.46e+00    2.24e-02  9.96e-03    2.39e-01  2.68e-01    1.0e-03
  19100    7.30e+00  6.91e+00    1.52e-02  1.47e-02    2.31e-01  2.19e-01    1.0e-03
  19200    1.00e+01  1.07e+01    1.62e-02  6.82e-03    3.16e-01  3.39e-01    1.0e-03
  19300    8.03e+00  9.05e+00    4.06e-02  4.22e-02    2.54e-01  2.86e-01    1.0e-03
  19400    8.70e+00  7.21e+00    1.11e-02  1.83e-03    2.75e-01  2.28e-01    1.0e-03
  19500    4.15e+00  5.78e+00    7.41e-02  7.23e-02    1.31e-01  1.83e-01    1.0e-03
  19600    7.08e+00  6.62e+00    2.64e-02  2.72e-02    2.24e-01  2.09e-01    1.0e-03
  19700    1.00e+01  9.25e+00    2.93e-02  2.71e-02    3.18e-01  2.92e-01    1.0e-03
  19800    5.80e+00  6.83e+00    4.15e-02  4.07e-02    1.83e-01  2.16e-01    1.0e-03
  19900    8.67e+00  9.04e+00    5.27e-02  3.17e-02    2.74e-01  2.86e-01    1.0e-03
  20000    7.69e+00  8.13e+00    2.47e-02  3.30e-02    2.49e-01  2.64e-01    9.5e-04
  20100    6.34e+00  6.25e+00    1.74e-02  1.24e-02    2.06e-01  2.03e-01    9.5e-04
  20200    3.62e+00  3.89e+00    3.62e-02  3.76e-02    1.17e-01  1.26e-01    9.5e-04
  20300    7.19e+00  6.57e+00    1.46e-02  1.41e-03    2.33e-01  2.13e-01    9.5e-04
  20400    7.12e+00  6.57e+00    7.78e-03  1.69e-02    2.31e-01  2.13e-01    9.5e-04
  20500    7.00e+00  6.28e+00    2.66e-02  2.67e-02    2.27e-01  2.04e-01    9.5e-04
  20600    7.90e+00  8.05e+00    1.26e-02  8.03e-03    2.56e-01  2.61e-01    9.5e-04
  20700    6.08e+00  6.00e+00    7.94e-03  3.20e-03    1.97e-01  1.95e-01    9.5e-04
  20800    6.28e+00  6.50e+00    5.44e-02  5.82e-02    2.04e-01  2.11e-01    9.5e-04
  20900    3.55e+00  3.57e+00    3.12e-02  3.54e-04    1.15e-01  1.16e-01    9.5e-04
  21000    6.16e+00  6.05e+00    1.08e-02  6.35e-03    2.00e-01  1.96e-01    9.5e-04
  21100    7.37e+00  7.54e+00    2.04e-02  3.29e-02    2.39e-01  2.45e-01    9.5e-04
  21200    5.80e+00  5.53e+00    5.07e-02  4.90e-02    1.88e-01  1.79e-01    9.5e-04
  21300    7.57e+00  7.64e+00    2.85e-03  3.45e-03    2.46e-01  2.48e-01    9.5e-04
  21400    4.29e+00  4.06e+00    1.59e-02  2.18e-02    1.39e-01  1.32e-01    9.5e-04
  21500    6.17e+00  6.36e+00    1.76e-02  1.47e-02    2.00e-01  2.06e-01    9.5e-04
  21600    6.06e+00  6.31e+00    9.72e-03  8.59e-03    1.97e-01  2.05e-01    9.5e-04
  21700    7.14e+00  7.53e+00    1.90e-02  5.97e-03    2.32e-01  2.44e-01    9.5e-04
  21800    7.27e+00  6.99e+00    4.84e-02  3.15e-02    2.36e-01  2.27e-01    9.5e-04
  21900    4.50e+00  4.30e+00    3.35e-03  3.59e-03    1.46e-01  1.39e-01    9.5e-04
  22000    3.92e+00  3.84e+00    2.93e-02  2.71e-02    1.27e-01  1.24e-01    9.5e-04
  22100    7.30e+00  7.06e+00    2.80e-02  1.86e-03    2.37e-01  2.29e-01    9.5e-04
  22200    7.35e+00  7.35e+00    4.03e-02  3.06e-02    2.39e-01  2.38e-01    9.5e-04
  22300    3.45e+00  3.24e+00    1.48e-02  9.46e-03    1.12e-01  1.05e-01    9.5e-04
  22400    7.03e+00  6.98e+00    1.43e-02  4.37e-03    2.28e-01  2.26e-01    9.5e-04
  22500    6.16e+00  6.15e+00    1.38e-02  2.30e-02    2.00e-01  1.99e-01    9.5e-04
  22600    5.47e+00  5.60e+00    1.41e-01  1.36e-01    1.77e-01  1.81e-01    9.5e-04
  22700    7.12e+00  7.04e+00    4.81e-02  4.91e-02    2.31e-01  2.28e-01    9.5e-04
  22800    7.22e+00  7.49e+00    5.42e-02  5.98e-02    2.34e-01  2.43e-01    9.5e-04
  22900    7.25e+00  7.70e+00    1.71e-02  9.83e-03    2.35e-01  2.50e-01    9.5e-04
  23000    1.07e+01  1.13e+01    3.60e-02  4.09e-02    3.49e-01  3.66e-01    9.5e-04
  23100    3.69e+00  3.73e+00    1.91e-02  1.97e-02    1.20e-01  1.21e-01    9.5e-04
  23200    6.00e+00  5.35e+00    3.41e-02  3.16e-02    1.95e-01  1.73e-01    9.5e-04
  23300    8.65e+00  8.78e+00    2.31e-02  2.50e-02    2.81e-01  2.85e-01    9.5e-04
  23400    7.37e+00  7.14e+00    4.26e-02  3.31e-02    2.39e-01  2.31e-01    9.5e-04
  23500    1.01e+01  1.01e+01    4.47e-02  4.93e-02    3.26e-01  3.28e-01    9.5e-04
  23600    6.76e+00  7.34e+00    1.18e-02  8.67e-03    2.19e-01  2.38e-01    9.5e-04
  23700    7.68e+00  8.08e+00    8.12e-02  6.31e-02    2.49e-01  2.62e-01    9.5e-04
  23800    6.68e+00  6.78e+00    1.88e-02  2.91e-02    2.17e-01  2.20e-01    9.5e-04
  23900    6.81e+00  6.79e+00    2.01e-02  1.43e-02    2.21e-01  2.20e-01    9.5e-04
  24000    9.36e+00  8.70e+00    1.29e-01  1.29e-01    3.04e-01  2.82e-01    9.5e-04
  24100    7.40e+00  6.29e+00    1.03e-01  7.53e-02    2.40e-01  2.04e-01    9.5e-04
  24200    7.42e+00  9.08e+00    6.10e-02  5.47e-02    2.41e-01  2.94e-01    9.5e-04
  24300    6.02e+00  5.68e+00    1.76e-02  1.79e-02    1.95e-01  1.84e-01    9.5e-04
  24400    5.57e+00  5.49e+00    3.94e-02  4.29e-02    1.81e-01  1.78e-01    9.5e-04
  24500    7.19e+00  8.25e+00    3.53e-02  2.06e-02    2.33e-01  2.68e-01    9.5e-04
  24600    6.57e+00  6.77e+00    1.39e-02  2.58e-03    2.13e-01  2.20e-01    9.5e-04
  24700    6.13e+00  6.27e+00    1.04e-02  1.65e-02    1.99e-01  2.04e-01    9.5e-04
  24800    6.88e+00  6.94e+00    2.28e-02  2.26e-02    2.23e-01  2.25e-01    9.5e-04
  24900    5.35e+00  5.06e+00    2.04e-02  1.97e-02    1.73e-01  1.64e-01    9.5e-04
  25000    5.33e+00  5.06e+00    2.04e-02  1.65e-02    1.73e-01  1.64e-01    9.5e-04
  25100    7.12e+00  7.18e+00    4.19e-02  5.30e-02    2.31e-01  2.33e-01    9.5e-04
  25200    7.58e+00  7.35e+00    2.45e-02  1.60e-02    2.46e-01  2.38e-01    9.5e-04
  25300    6.40e+00  7.99e+00    7.75e-03  9.68e-03    2.08e-01  2.59e-01    9.5e-04
  25400    6.39e+00  3.73e+00    1.10e-01  1.05e-01    2.07e-01  1.21e-01    9.5e-04
  25500    6.86e+00  7.37e+00    1.19e-02  1.82e-02    2.23e-01  2.39e-01    9.5e-04
  25600    6.17e+00  6.47e+00    1.52e-02  5.02e-03    2.00e-01  2.10e-01    9.5e-04
  25700    6.05e+00  6.93e+00    1.94e-02  2.50e-02    1.96e-01  2.25e-01    9.5e-04
  25800    3.32e+00  3.30e+00    1.13e-02  8.65e-03    1.08e-01  1.07e-01    9.5e-04
  25900    6.28e+00  5.96e+00    4.00e-02  1.69e-02    2.04e-01  1.93e-01    9.5e-04
  26000    6.33e+00  6.14e+00    2.78e-02  4.47e-02    2.05e-01  1.99e-01    9.5e-04
  26100    6.47e+00  6.79e+00    6.49e-02  5.68e-02    2.10e-01  2.20e-01    9.5e-04
