# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    4.10e+01  3.78e+01    5.01e+00  5.03e+00    1.30e+00  1.19e+00    1.0e-03
    100    2.20e+01  2.08e+01    1.97e+00  1.98e+00    6.87e-01  6.47e-01    1.0e-03
    200    2.17e+01  2.16e+01    6.30e-01  6.38e-01    6.85e-01  6.83e-01    1.0e-03
    300    2.21e+01  2.23e+01    9.04e-02  9.48e-02    7.00e-01  7.05e-01    1.0e-03
    400    2.20e+01  2.04e+01    8.19e-02  7.52e-02    6.95e-01  6.46e-01    1.0e-03
    500    3.59e+01  1.61e+01    1.05e-01  1.82e-01    1.14e+00  5.09e-01    1.0e-03
    600    1.96e+01  1.93e+01    1.61e-02  1.41e-02    6.18e-01  6.10e-01    1.0e-03
    700    2.08e+01  2.18e+01    1.05e-01  9.27e-02    6.58e-01  6.88e-01    1.0e-03
    800    3.27e+01  4.12e+01    1.21e-01  1.81e-01    1.04e+00  1.30e+00    1.0e-03
    900    2.03e+01  1.96e+01    2.45e-02  2.84e-02    6.42e-01  6.20e-01    1.0e-03
   1000    2.20e+01  2.32e+01    2.85e-02  6.95e-02    6.96e-01  7.35e-01    1.0e-03
   1100    1.86e+01  1.97e+01    4.32e-02  7.25e-02    5.88e-01  6.22e-01    1.0e-03
   1200    2.19e+01  2.43e+01    9.37e-01  9.39e-01    6.90e-01  7.68e-01    1.0e-03
   1300    1.83e+01  1.93e+01    2.70e-02  3.13e-02    5.77e-01  6.12e-01    1.0e-03
   1400    1.53e+01  1.55e+01    3.45e-01  3.43e-01    4.85e-01  4.91e-01    1.0e-03
   1500    1.55e+01  1.63e+01    4.19e-02  5.40e-02    4.90e-01  5.14e-01    1.0e-03
   1600    1.46e+01  1.50e+01    1.66e-01  1.66e-01    4.63e-01  4.74e-01    1.0e-03
   1700    1.03e+01  1.06e+01    4.51e-02  4.15e-02    3.26e-01  3.37e-01    1.0e-03
   1800    1.34e+01  1.34e+01    1.31e-01  1.35e-01    4.24e-01  4.23e-01    1.0e-03
   1900    1.43e+01  1.90e+01    9.35e-02  9.15e-02    4.52e-01  6.02e-01    1.0e-03
   2000    1.18e+01  1.25e+01    5.82e-02  5.04e-02    3.72e-01  3.96e-01    1.0e-03
   2100    1.40e+01  1.69e+01    4.88e-02  6.42e-02    4.43e-01  5.36e-01    1.0e-03
   2200    1.24e+01  1.25e+01    2.02e-01  1.89e-01    3.92e-01  3.96e-01    1.0e-03
   2300    1.68e+01  1.57e+01    1.41e-01  1.41e-01    5.30e-01  4.98e-01    1.0e-03
   2400    1.18e+01  1.14e+01    9.04e-02  8.92e-02    3.74e-01  3.62e-01    1.0e-03
   2500    2.07e+01  2.38e+01    1.07e-01  1.40e-01    6.53e-01  7.52e-01    1.0e-03
   2600    1.58e+01  1.76e+01    2.60e-01  2.96e-01    5.01e-01  5.55e-01    1.0e-03
   2700    1.93e+01  2.12e+01    1.85e-01  1.94e-01    6.10e-01  6.71e-01    1.0e-03
   2800    2.43e+01  1.11e+01    3.51e-01  3.05e-01    7.67e-01  3.52e-01    1.0e-03
   2900    8.34e+00  8.64e+00    3.20e-02  5.92e-02    2.64e-01  2.73e-01    1.0e-03
   3000    1.32e+01  1.32e+01    9.41e-02  9.26e-02    4.17e-01  4.16e-01    1.0e-03
   3100    1.21e+01  1.22e+01    4.10e-02  6.27e-02    3.82e-01  3.85e-01    1.0e-03
   3200    7.88e+00  7.81e+00    3.71e-02  3.77e-02    2.49e-01  2.47e-01    1.0e-03
   3300    1.31e+01  1.30e+01    2.95e-01  2.92e-01    4.14e-01  4.11e-01    1.0e-03
   3400    1.17e+01  1.25e+01    6.74e-02  6.87e-02    3.70e-01  3.94e-01    1.0e-03
   3500    7.49e+00  7.34e+00    3.25e-01  3.28e-01    2.36e-01  2.31e-01    1.0e-03
   3600    1.12e+01  1.12e+01    1.17e-02  9.89e-03    3.55e-01  3.54e-01    1.0e-03
   3700    1.17e+01  1.23e+01    1.23e-01  1.61e-01    3.68e-01  3.87e-01    1.0e-03
   3800    1.15e+01  1.30e+01    3.47e-02  6.12e-02    3.63e-01  4.12e-01    1.0e-03
   3900    1.15e+01  1.17e+01    5.39e-03  9.09e-03    3.62e-01  3.70e-01    1.0e-03
   4000    1.46e+01  1.47e+01    5.58e-02  2.66e-02    4.61e-01  4.64e-01    1.0e-03
   4100    1.40e+01  1.37e+01    6.75e-02  6.81e-02    4.43e-01  4.34e-01    1.0e-03
   4200    1.20e+01  1.17e+01    3.02e-02  1.50e-02    3.81e-01  3.71e-01    1.0e-03
   4300    1.14e+01  1.16e+01    5.20e-02  3.60e-02    3.60e-01  3.68e-01    1.0e-03
   4400    7.33e+00  7.65e+00    4.35e-02  2.81e-02    2.32e-01  2.42e-01    1.0e-03
   4500    1.10e+01  1.20e+01    6.08e-02  3.79e-02    3.47e-01  3.79e-01    1.0e-03
   4600    1.24e+01  1.13e+01    1.87e-01  2.05e-01    3.92e-01  3.57e-01    1.0e-03
   4700    1.17e+01  1.17e+01    5.74e-02  3.88e-03    3.69e-01  3.70e-01    1.0e-03
   4800    1.07e+01  1.03e+01    5.12e-02  4.48e-02    3.39e-01  3.26e-01    1.0e-03
   4900    1.74e+01  1.78e+01    6.07e-02  5.69e-02    5.50e-01  5.63e-01    1.0e-03
   5000    1.12e+01  1.16e+01    1.34e-01  1.42e-01    3.54e-01  3.67e-01    1.0e-03
   5100    1.58e+01  1.70e+01    5.69e-01  5.40e-01    4.99e-01  5.36e-01    1.0e-03
   5200    1.67e+01  1.71e+01    8.63e-01  8.66e-01    5.26e-01  5.37e-01    1.0e-03
   5300    1.24e+01  1.18e+01    8.76e-02  4.55e-02    3.92e-01  3.73e-01    1.0e-03
   5400    1.48e+01  1.52e+01    5.87e-02  4.48e-02    4.69e-01  4.80e-01    1.0e-03
   5500    1.28e+01  1.18e+01    1.26e-01  1.30e-01    4.04e-01  3.73e-01    1.0e-03
   5600    1.26e+01  1.09e+01    4.00e-02  3.75e-02    3.99e-01  3.45e-01    1.0e-03
   5700    1.70e+01  1.95e+01    2.81e-01  2.82e-01    5.36e-01  6.16e-01    1.0e-03
   5800    8.54e+00  8.75e+00    2.54e-01  2.45e-01    2.70e-01  2.76e-01    1.0e-03
   5900    1.42e+01  1.30e+01    5.93e-02  5.57e-02    4.51e-01  4.12e-01    1.0e-03
   6000    1.19e+01  1.19e+01    7.34e-02  7.58e-02    3.76e-01  3.78e-01    1.0e-03
   6100    1.17e+01  1.43e+01    2.63e-02  5.68e-02    3.70e-01  4.51e-01    1.0e-03
   6200    1.70e+01  1.70e+01    1.25e-01  1.17e-01    5.37e-01  5.36e-01    1.0e-03
   6300    1.36e+01  1.46e+01    7.82e-02  1.33e-01    4.29e-01  4.61e-01    1.0e-03
   6400    6.42e+00  6.02e+00    3.14e-01  3.05e-01    2.02e-01  1.89e-01    1.0e-03
   6500    6.02e+00  5.92e+00    1.12e-01  1.06e-01    1.90e-01  1.87e-01    1.0e-03
   6600    1.06e+01  1.07e+01    3.28e-02  9.31e-03    3.35e-01  3.39e-01    1.0e-03
   6700    1.01e+01  9.56e+00    1.33e-01  1.34e-01    3.20e-01  3.02e-01    1.0e-03
   6800    1.17e+01  9.38e+00    4.78e-01  4.68e-01    3.70e-01  2.97e-01    1.0e-03
