# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   5900    9.87e+00  8.50e+00    1.26e-02  3.74e-02    3.12e-01  2.69e-01    1.0e-03
   6000    1.12e+01  1.10e+01    3.84e-02  1.75e-02    3.53e-01  3.48e-01    1.0e-03
   6100    1.10e+01  1.11e+01    2.85e-02  1.73e-02    3.48e-01  3.50e-01    1.0e-03
   6200    9.54e+00  9.53e+00    2.05e-02  2.31e-02    3.02e-01  3.01e-01    1.0e-03
   6300    9.84e+00  9.07e+00    2.53e-02  1.84e-02    3.11e-01  2.87e-01    1.0e-03
   6400    1.07e+01  1.02e+01    5.22e-02  5.44e-02    3.38e-01  3.23e-01    1.0e-03
   6500    6.01e+00  6.11e+00    7.34e-02  5.07e-02    1.90e-01  1.93e-01    1.0e-03
   6600    9.63e+00  9.69e+00    7.58e-02  5.20e-02    3.04e-01  3.07e-01    1.0e-03
   6700    1.09e+01  1.02e+01    7.41e-02  6.32e-02    3.44e-01  3.22e-01    1.0e-03
   6800    5.71e+00  5.42e+00    4.83e-02  4.07e-02    1.80e-01  1.71e-01    1.0e-03
   6900    1.14e+01  1.14e+01    6.65e-02  3.50e-02    3.60e-01  3.60e-01    1.0e-03
   7000    1.03e+01  1.00e+01    3.81e-02  4.26e-02    3.27e-01  3.18e-01    1.0e-03
   7100    9.53e+00  9.25e+00    9.79e-02  9.52e-02    3.01e-01  2.93e-01    1.0e-03
   7200    9.64e+00  9.30e+00    4.71e-02  4.46e-02    3.05e-01  2.94e-01    1.0e-03
   7300    1.03e+01  9.06e+00    2.53e-02  1.30e-02    3.26e-01  2.86e-01    1.0e-03
   7400    5.39e+00  5.92e+00    1.11e-01  1.40e-01    1.70e-01  1.87e-01    1.0e-03
   7500    1.04e+01  9.64e+00    6.54e-03  1.65e-02    3.28e-01  3.05e-01    1.0e-03
   7600    1.38e+01  1.35e+01    2.52e-02  3.42e-02    4.37e-01  4.28e-01    1.0e-03
   7700    5.92e+00  5.67e+00    1.48e-01  7.55e-02    1.87e-01  1.79e-01    1.0e-03
   7800    1.03e+01  9.62e+00    4.49e-02  6.02e-03    3.25e-01  3.04e-01    1.0e-03
   7900    5.67e+00  5.29e+00    1.20e-01  1.08e-01    1.79e-01  1.67e-01    1.0e-03
   8000    9.68e+00  9.33e+00    7.04e-02  7.29e-02    3.06e-01  2.95e-01    1.0e-03
   8100    7.82e+00  7.58e+00    8.69e-02  9.26e-02    2.47e-01  2.40e-01    1.0e-03
   8200    5.28e+00  4.64e+00    6.33e-02  3.01e-02    1.67e-01  1.47e-01    1.0e-03
   8300    1.09e+01  1.05e+01    7.87e-02  8.82e-02    3.46e-01  3.32e-01    1.0e-03
   8400    9.61e+00  8.51e+00    2.62e-02  1.43e-02    3.04e-01  2.69e-01    1.0e-03
   8500    8.08e+00  7.80e+00    3.05e-02  3.27e-02    2.55e-01  2.47e-01    1.0e-03
   8600    8.64e+00  1.01e+01    1.53e-02  1.37e-02    2.73e-01  3.20e-01    1.0e-03
   8700    5.25e+00  5.29e+00    3.67e-03  3.68e-03    1.66e-01  1.67e-01    1.0e-03
   8800    9.50e+00  9.55e+00    3.00e-02  4.13e-02    3.00e-01  3.02e-01    1.0e-03
   8900    1.09e+01  7.73e+00    3.88e-02  4.35e-02    3.45e-01  2.44e-01    1.0e-03
   9000    1.12e+01  1.13e+01    6.91e-02  5.71e-02    3.54e-01  3.57e-01    1.0e-03
   9100    8.57e+00  9.04e+00    7.40e-02  7.51e-02    2.71e-01  2.86e-01    1.0e-03
   9200    8.55e+00  8.00e+00    3.45e-02  3.33e-02    2.70e-01  2.53e-01    1.0e-03
   9300    1.41e+01  1.33e+01    1.85e-02  7.40e-03    4.45e-01  4.21e-01    1.0e-03
   9400    1.06e+01  1.08e+01    5.46e-02  5.26e-02    3.36e-01  3.41e-01    1.0e-03
   9500    5.21e+00  4.76e+00    9.84e-02  3.52e-02    1.65e-01  1.51e-01    1.0e-03
   9600    1.11e+01  1.06e+01    2.43e-02  2.11e-02    3.52e-01  3.35e-01    1.0e-03
   9700    9.93e+00  9.21e+00    6.83e-01  6.82e-01    3.11e-01  2.88e-01    1.0e-03
   9800    2.02e+01  1.54e+01    1.32e-01  1.34e-01    6.39e-01  4.86e-01    1.0e-03
   9900    1.00e+01  9.97e+00    7.51e-02  4.88e-02    3.16e-01  3.15e-01    1.0e-03
  10000    9.72e+00  8.82e+00    5.06e-02  2.44e-02    3.07e-01  2.79e-01    1.0e-03
  10100    4.37e+00  4.33e+00    8.73e-02  1.15e-01    1.38e-01  1.37e-01    1.0e-03
  10200    5.39e+00  6.56e+00    5.33e-02  2.16e-02    1.70e-01  2.07e-01    1.0e-03
  10300    8.22e+00  8.44e+00    2.81e-02  2.44e-02    2.60e-01  2.67e-01    1.0e-03
  10400    5.46e+00  6.57e+00    1.32e-01  7.01e-02    1.73e-01  2.08e-01    1.0e-03
  10500    9.64e+00  9.43e+00    4.97e-02  5.43e-02    3.05e-01  2.98e-01    1.0e-03
  10600    7.21e+00  7.79e+00    1.62e-02  1.68e-02    2.28e-01  2.46e-01    1.0e-03
  10700    9.04e+00  8.87e+00    1.76e-02  1.62e-02    2.86e-01  2.81e-01    1.0e-03
  10800    8.12e+00  7.66e+00    1.18e-02  7.50e-03    2.57e-01  2.42e-01    1.0e-03
  10900    7.65e+00  6.31e+00    2.01e-02  1.93e-02    2.42e-01  2.00e-01    1.0e-03
  11000    7.90e+00  8.61e+00    1.82e-02  2.00e-02    2.50e-01  2.72e-01    1.0e-03
  11100    8.05e+00  8.16e+00    1.01e-02  1.20e-02    2.55e-01  2.58e-01    1.0e-03
  11200    9.81e+00  1.02e+01    2.37e-02  1.99e-02    3.10e-01  3.22e-01    1.0e-03
  11300    8.27e+00  8.21e+00    5.68e-02  5.37e-02    2.61e-01  2.60e-01    1.0e-03
  11400    1.52e+01  1.59e+01    4.18e-01  4.32e-01    4.80e-01  5.03e-01    1.0e-03
  11500    1.17e+01  1.27e+01    1.14e-01  9.74e-02    3.69e-01  4.01e-01    1.0e-03
  11600    1.17e+01  1.10e+01    7.62e-03  6.42e-03    3.70e-01  3.47e-01    1.0e-03
  11700    8.54e+00  7.77e+00    1.85e-02  1.50e-02    2.70e-01  2.46e-01    1.0e-03
  11800    1.01e+01  1.06e+01    7.28e-02  8.97e-02    3.20e-01  3.34e-01    1.0e-03
  11900    8.00e+00  7.78e+00    1.99e-01  2.55e-01    2.53e-01  2.46e-01    1.0e-03
  12000    8.90e+00  8.41e+00    5.39e-02  6.10e-02    2.81e-01  2.66e-01    1.0e-03
  12100    1.17e+01  9.86e+00    2.71e-02  3.01e-02    3.69e-01  3.12e-01    1.0e-03
  12200    5.02e+00  5.89e+00    8.72e-02  8.09e-02    1.59e-01  1.86e-01    1.0e-03
  12300    1.02e+01  9.57e+00    7.57e-03  7.74e-03    3.24e-01  3.03e-01    1.0e-03
  12400    8.83e+00  9.42e+00    3.98e-02  5.11e-02    2.79e-01  2.98e-01    1.0e-03
  12500    7.98e+00  7.29e+00    9.48e-02  5.23e-02    2.52e-01  2.30e-01    1.0e-03
